nome;uf;total_presencas
Lucyana Genésio;MA;56
Glauber Braga;RJ;56
Nelinho Freitas;CE;56
Delegado Marcelo Freitas;MG;55
Ricardo Galvão;SP;54
Julio Cesar Ribeiro;DF;54
Pedro Paulo;RJ;54
Loreny;SP;53
Fábio Henrique;SE;53
Leur Lomanto Júnior;BA;53
Lincoln Portela;MG;53
Luiz Antonio Corrêa;RJ;53
Felipe Carreras;PE;53
Doutor Luizinho;RJ;53
Beto Pereira;MS;53
Renildo Calheiros;PE;53
José Rocha;BA;53
Ivan Valente;SP;52
Daniel José;SP;50
Carla Ayres;SC;47
Elmano Férrer;PI;46
Padre João;MG;45
Pedro Jr;TO;45
Wolmer Araújo;MA;44
Renan Ferreirinha;RJ;43
Hildo do Candango;GO;40
Missionária Michele Collins;PE;40
Gláucia Santiago;MG;38
Lucas Abrahao;AP;37
Pedro Tourinho;SP;36
Soldado Noelio;CE;34
Ivan Junior;MA;34
Dr Fabio Rueda;AC;33
Luciano Galego;MA;31
Gorete Pereira;CE;30
Henrique Júnior;MA;29
Capitão Samuel;SE;28
Délio Pinheiro;MG;27
Heloísa Helena;RJ;26
Dr. Gonçalo;MA;23
Cristiano Furlan;AP;10
Naumi Amorim;CE;6
Luiz Marinho;SP;1
Marina Silva;SP;1
